time,single
44,339
44,343
44,342
44,337
44,341
44,340
44,336
44,337
44,339
46,337
46,338
46,337
46,337
46,337
46,337
46,340
46,336
46,337
46,336
46,335
46,336
47,336
47,337
47,336
47,336
47,336
47,336
47,336
47,334
47,336
1542,337
1542,337
1542,336
1543,335
1543,336
1543,334
1543,336
1543,337
1543,336
1543,331
1543,326
1543,335
1543,332
1543,329
1543,325
1543,331
1543,331
1543,333
1543,331
1543,327
1543,331
1543,330
1543,330
1543,325
1543,325
1543,329
1543,333
1543,330
1544,326
1544,325
1544,323
1544,320
1544,319
1544,319
1544,317
1544,317
1544,318
1544,317
1544,311
1544,312
1544,308
1544,313
1544,315
1544,315
1544,317
1544,316
1544,314
1545,313
1545,313
1545,311
1545,309
1545,307
1545,306
1545,306
1545,305
1545,304
1545,305
1545,304
1545,305
1545,308
1545,311
1545,310
1545,311
1545,315
1545,317
1545,312
1545,315
1545,315
1545,315
1545,314
1545,314
1545,314
1546,322
1546,341
1546,346
1546,354
1546,366
1546,369
1546,370
1546,368
1546,368
1546,361
1546,358
1546,357
1546,351
1546,349
1546,342
1546,346
1546,349
1546,347
1546,343
1546,341
1546,341
1546,345
1546,339
1547,339
1547,343
1547,339
1547,336
1547,336
1547,333
1547,336
1547,336
1547,343
1547,369
1547,393
1547,390
1548,388
1548,401
1548,400
1548,414
1548,430
1548,432
1548,491
1548,578
1548,593
1548,640
1548,685
1548,782
1548,794
1548,848
1548,854
1548,842
1548,849
1548,831
1549,835
1549,848
1549,860
1549,919
1549,907
1549,929
1549,940
1549,902
1549,877
1549,882
1549,871
1549,846
1549,866
1549,910
1549,979
1549,1022
1549,1049
1549,1081
1549,1023
1549,965
1549,953
1549,910
1549,891
1550,880
1550,950
1550,912
1550,879
1550,881
1550,869
1550,919
1550,926
1550,932
1550,922
1550,929
1550,921
1550,912
1550,891
1550,885
1550,856
1550,846
1550,849
1550,868
1550,880
1550,875
1550,902
1550,944
1551,935
1551,935
1551,1012
1551,1045
1551,1111
1551,1089
1551,1102
1551,1081
1551,1047
1551,1023
1551,997
1551,1008
1551,976
1551,947
1551,1003
1551,963
1551,971
1551,1019
1551,1009
1551,1068
1551,1047
1551,1045
1551,1075
1552,1087
1552,1141
1552,1161
1552,1136
1552,1177
1552,1176
1552,1209
1552,1174
1552,1202
1552,1201
1552,1173
1552,1196
1552,1149
1552,1117
1552,1116
1552,1071
1552,1053
1552,1009
1552,1035
1552,1023
1552,1008
1552,1020
1552,1043
1552,1075
1552,1023
1553,979
1553,963
1553,1008
1553,1015
1553,1015
1553,1001
1553,978
1553,953
1553,913
1553,966
1553,943
1553,909
1553,874
1553,915
1553,925
1553,885
1553,865
1553,830
1553,833
1554,803
1554,775
1554,832
1554,833
1554,817
1554,827
1554,836
1554,802
1554,774
1554,764
1554,829
1554,802
1554,768
1554,752
1554,790
1554,804
1554,813
1554,779
1554,778
1554,812
1555,803
1555,770
1555,741
1555,748
1555,743
1555,720
1555,702
1555,690
1555,688
1555,681
1555,670
1555,656
1555,658
1555,646
1555,645
1555,625
1555,613
1555,621
1556,641
1586,654
1586,656
1586,653
1586,656
1586,634
1586,615
1586,597
1586,592
1586,579
1586,562
1628,557
1629,550
1629,539
1629,544
1629,531
1629,511
1629,499
1629,495
1674,496
1674,488
1674,475
1674,476
1674,464
1674,459
1674,460
1674,451
1719,443
1719,445
1719,439
1719,432
1720,431
1720,419
1720,415
1720,411
1720,406
1763,403
1763,410
1763,413
1763,406
1763,400
1763,415
1763,416
1763,413
1763,405
1862,409
1862,422
1862,415
1862,413
1862,417
1862,413
1863,414
1863,417
1917,411
1917,431
1917,428
1917,416
1917,423
1917,409
1917,413
1917,402
1918,419
1918,445
1918,443
1918,483
1918,479
1918,485
1918,511
1918,535
1918,511
1918,528
1918,528
1918,541
1967,541
1967,531
1967,542
1967,531
1967,564
1967,560
1967,549
1967,549
1967,532
1967,528
1967,511
2017,539
2017,544
2017,543
2017,539
2017,544
2017,532
2017,542
2017,529
2017,509
2061,500
2062,501
2062,496
2062,493
2062,480
2062,465
2062,466
2062,480
2062,468
2118,462
2118,453
2118,448
2118,449
2118,448
2118,439
2118,432
2118,428
2118,419
2165,429
2165,432
2165,426
2165,417
2165,414
2165,417
2165,419
2165,414
2165,422
2165,429
2237,412
2237,416
2237,418
2237,409
2238,412
2238,441
2238,442
2238,465
2238,478
2281,486
2281,491
2281,475
2281,474
2281,493
2281,502
2281,494
2282,480
2282,496
2282,501
2282,506
2282,497
2282,510
2282,527
2327,542
2327,542
2327,530
2327,526
2327,544
2327,547
2327,539
2327,540
2327,549
2370,566
2370,583
2370,587
2370,576
2370,576
2370,559
2370,553
2370,539
2422,554
2422,562
2422,554
2422,537
2422,537
2422,546
2422,544
2422,541
2422,537
2473,525
2473,542
2473,585
2473,606
2473,610
2473,597
2473,583
2473,585
2473,576
2473,573
2532,562
2532,592
2532,569
2532,583
2532,605
2532,602
2532,587
2532,589
2532,592
2581,605
2581,587
2581,575
2581,560
2581,560
2581,548
2581,535
2581,523
2582,510
2582,524
2582,511
2582,505
2582,496
2631,483
2631,474
2632,464
2632,459
2632,457
2632,449
2632,436
2632,430
2632,423
2675,417
2675,407
2675,400
2675,387
2675,385
2675,385
2675,373
2675,368
2675,368
2730,368
2730,367
2730,361
2730,356
2730,352
2730,346
2730,347
2730,370
2730,384
2775,382
2775,410
2775,438
2775,432
2775,429
2775,416
2775,417
2775,413
2776,417
