time,single
38,4095
39,4095
39,4095
39,4095
39,4095
39,4095
39,4095
39,4095
39,4095
39,4095
39,4095
39,4095
39,4095
40,4095
40,4095
40,4095
40,4095
40,4095
40,4095
40,4095
40,4095
40,4095
40,4095
40,4095
40,4095
85,4095
85,4095
85,4095
85,4095
85,4095
85,4095
85,4095
126,4095
127,4095
127,4095
127,4095
127,4095
127,4095
127,4095
169,4095
169,4095
169,4095
169,4095
169,4095
169,4095
169,4095
212,4095
212,4095
212,4095
212,4095
212,4095
212,4095
212,4095
254,4095
254,4095
254,4095
254,4095
254,4095
254,4095
254,4095
298,4095
298,4095
298,4095
298,4095
298,4095
298,4095
298,4095
339,4095
339,4095
339,4095
339,4095
340,4095
340,4095
340,4095
383,4095
384,4095
384,4095
384,4095
384,4095
384,4095
427,4095
427,4095
427,4095
427,4095
427,4095
427,4095
427,4095
427,4095
471,4095
471,4095
471,4095
471,4095
471,4095
471,4095
514,4095
514,4095
514,4095
514,4095
514,4095
514,4095
514,4095
559,4095
559,4095
559,4095
560,4095
560,4095
560,4095
560,4095
602,4095
602,4095
602,4095
602,4095
602,4095
602,4095
602,4095
602,4095
645,4095
645,4095
645,4095
645,4095
646,4095
646,4095
689,4095
689,4095
689,4095
689,4095
689,4095
689,4095
689,4095
733,4095
733,4095
733,4095
733,4095
733,4095
733,4095
733,4095
775,4095
775,4095
775,4095
775,4095
775,4095
775,4095
775,4095
820,4095
820,4095
820,4095
820,4095
820,4095
820,4095
820,4095
863,4095
863,4095
863,4095
863,4095
863,4095
863,4095
863,4095
906,4095
906,4095
906,4095
906,4095
906,4095
906,4095
906,4095
950,4095
950,4095
950,4095
950,4095
950,4095
950,4095
950,4095
991,4095
991,4095
991,4095
991,4095
992,4095
992,4095
992,4095
1035,4095
1035,4095
1035,4095
1035,4095
1035,4095
1035,4095
1035,4095
1077,4095
1077,4095
1077,4095
1077,4095
1077,4095
1077,4095
1077,4095
1120,4095
1120,4095
1120,4095
1120,4095
1120,4095
1120,4095
1163,4095
1163,4095
1163,4095
1163,4095
1163,4095
1163,4095
1163,4095
1208,4095
1208,4095
1208,4095
1208,4095
1208,4095
1208,4095
1208,4095
1252,4095
1252,4095
1252,4095
1252,4095
1252,4095
1252,4095
1252,4095
1296,4095
1296,4095
1296,4095
1296,4095
1296,4095
1296,4095
1296,4095
1339,4095
1339,4095
1339,4095
1339,4095
1339,4095
1339,4095
1339,4095
1382,4095
1382,4095
1382,4095
1382,4095
1382,4095
1382,4095
1382,4095
1425,4095
1425,4095
1425,4095
1425,4095
1425,4095
1425,4095
1425,4095
1468,4095
1468,4095
1468,4095
1468,4095
1468,4095
1468,4095
1468,4095
1511,4095
1511,4095
1511,4095
1511,4095
1511,4095
1511,4095
1511,4095
1555,4095
1555,4095
1555,4095
1555,4095
1555,4095
1555,4095
1555,4095
1597,4095
1597,4095
1597,4095
1597,4095
1597,4095
1597,4095
1597,4095
1642,4095
1642,4095
1642,4095
1642,4095
1642,4095
1642,4095
1642,4095
1688,4095
1688,4095
1688,4095
1688,4095
1688,4095
1688,4095
1688,4095
1731,4095
1731,4095
1731,4095
1731,4095
1731,4095
1731,4095
1731,4095
1773,4095
1773,4095
1773,4095
1773,4095
1773,4095
1773,4095
1773,4095
1816,4095
1816,4095
1816,4095
1816,4095
1816,4095
1817,4095
1817,4095
1859,4095
1859,4095
1859,4095
1859,4095
1859,4095
1859,4095
1859,4095
1901,4095
1901,4095
1901,4095
1902,4095
1902,4095
1902,4095
1945,4095
1945,4095
1945,4095
1945,4095
1945,4095
1945,4095
1945,4095
1988,4095
1988,4095
1988,4095
1988,4095
1988,4095
1988,4095
1988,4095
2032,4095
2032,4095
2032,4095
2032,4095
2032,4095
2032,4095
2032,4095
2075,4095
2075,4095
2075,4095
2075,4095
2075,4095
2075,4095
2075,4095
2122,4095
2122,4095
2122,4095
2122,4095
2123,4095
2123,4095
2123,4095
2164,4095
2164,4095
2164,4095
2164,4095
2164,4095
2164,4095
2164,4095
2164,4095
2209,4095
2209,4095
2209,4095
2209,4095
2209,4095
2209,4095
2209,4095
2253,4095
2253,4095
2254,4095
2254,4095
2254,4095
2254,4095
2254,4095
2296,4095
2296,4095
2296,4095
2296,4095
2296,4095
2296,4095
2296,4095
2342,4095
2342,4095
2342,4095
2342,4095
2342,4095
2342,4095
2342,4095
2385,4095
2386,4095
2386,4095
2386,4095
2386,4095
2386,4095
2386,4095
2429,4095
2429,4095
2429,4095
2429,4095
2429,4095
2429,4095
2429,4095
2471,4095
2471,4095
2471,4095
2471,4095
2471,4095
2472,4095
2472,4095
2515,4095
2515,4095
2515,4095
2515,4095
2515,4095
2515,4095
2515,4095
2560,4095
2560,4095
2560,4095
2560,4095
2560,4095
2560,4095
2561,4095
2603,4095
2603,4095
2603,4095
2603,4095
2603,4095
2603,4095
2603,4095
2647,4095
2647,4095
2647,4095
2648,4095
2648,4095
2648,4095
2648,4095
2690,4095
2690,4095
2690,4095
2690,4095
2690,4095
2690,4095
2690,4095
2735,4095
2736,4095
2736,4095
2736,4095
2736,4095
2736,4095
2736,4095
2778,4095
2778,4095
2778,4095
2778,4095
2778,4095
2778,4095
2778,4095
2823,4095
2823,4095
2823,4095
2823,4095
2823,4095
2823,4095
2823,4095
2866,4095
2867,4095
2867,4095
2867,4095
2867,4095
2867,4095
2867,4095
2909,4095
2909,4095
2909,4095
2909,4095
2909,4095
2909,4095
2910,4095
2955,4095
2955,4095
2955,4095
2955,4095
2955,4095
2955,4095
2955,4095
2998,4095
2998,4095
2998,4095
2998,4095
2998,4095
2998,4095
2998,4095
3044,4095
3044,4095
3044,4095
3044,4095
3044,4095
3044,4095
3044,4095
3086,4095
3086,4095
3086,4095
3086,4095
3086,4095
3086,4095
3086,4095
3130,4095
3130,4095
3130,4095
3130,4095
3130,4095
3130,4095
3130,4095
3174,4095
3174,4095
3174,4095
3174,4095
3174,4095
3174,4095
3174,4095
3216,4095
3216,4095
3216,4095
3217,4095
3217,4095
3217,4095
3217,4095
3262,4095
3262,4095
3262,4095
3262,4095
3262,4095
3262,4095
3262,4095
3305,4095
3305,4095
3305,4095
3305,4095
3305,4095
3305,4095
3305,4095
3350,4095
3350,4095
3350,4095
3350,4095
3350,4095
3350,4095
3350,4095
3394,4095
3394,4095
3394,4095
3394,4095
3394,4095
3394,4095
3394,4095
3435,4095
3435,4095
3435,4095
3435,4095
3435,4095
3435,4095
3435,4095
3481,4095
3481,4095
3482,4095
3482,4095
3482,4095
3482,4095
3482,4095
3523,4095
3524,4095
3524,4095
3524,4095
3524,4095
3524,4095
3524,4095
3568,4095
3568,4095
3568,4095
3568,4095
3568,4095
3568,4095
3568,4095
3611,4095
3611,4095
3611,4095
3611,4095
3611,4095
3611,4095
3612,4095
3653,4095
3654,4095
3654,4095
3654,4095
3654,4095
3654,4095
3654,4095
3697,4095
3697,4095
3697,4095
3697,4095
3697,4095
3697,4095
3697,4095
3740,4095
3740,4095
3740,4095
3740,4095
3740,4095
3740,4095
3740,4095
3785,4095
3785,4095
3785,4095
